Std,ID,Material,Heat treatment,Su,Sy,A5,Bhn,E,G,mu,Ro,pH,Desc,HV
ANSI,D8894772B88F495093C43AF905AB6373,Steel SAE 1015,as-rolled,421,314,39,126,207000,79000,0.3,7860,,,
ANSI,05982AC66F064F9EBC709E7A4164613A,Steel SAE 1015,normalized,424,324,37,121,207000,79000,0.3,7860,,,
ANSI,356D6E63FF9A49A3AB23BF66BAC85DC3,Steel SAE 1015,annealed,386,284,37,111,207000,79000,0.3,7860,,,
ANSI,1C758F8714AC4E0D9BD8D8AE1625AECD,Steel SAE 1020,as-rolled,448,331,36,143,207000,79000,0.3,7860,,,
ANSI,DCE10036FC1946FC8C9108D598D116AD,Steel SAE 1020,normalized,441,346,35.8,131,207000,79000,0.3,7860,550,,
ANSI,2EC038241908434FA714FEEBE24DDEFE,Steel SAE 1020,annealed,395,295,36.5,111,207000,79000,0.3,7860,,,
ANSI,356B183DD9E34A1C80A5028D43B9E149,Steel SAE 1022,as-rolled,503,359,35,149,207000,79000,0.3,7860,,,
ANSI,95CB82FA86314D8490932A9E740744E3,Steel SAE 1022,normalized,483,359,34,143,207000,79000,0.3,7860,,,
ANSI,942333E2D11B4C2CA0B9DFD6D1CE38E0,Steel SAE 1022,annealed,450,317,35,137,207000,79000,0.3,7860,,,
ANSI,5E035DD0692F47E3A92EB298101AA124,Steel SAE 1030,as-rolled,552,345,32,179,207000,79000,0.3,7860,,,
ANSI,8C9BE76E417841C3B821D4776B498039,Steel SAE 1030,normalized,517,345,32,149,207000,79000,0.3,7860,,,
ANSI,39E235137DD74F3CA35EA024AFD04964,Steel SAE 1030,annealed,464,341,31,126,207000,79000,0.3,7860,,,
ANSI,436484F7350147F7A2982D1410FB03CC,Steel SAE 1030,tempered at 400 F,848,648,17,495,207000,79000,0.3,7860,,,
ANSI,65BF7EFEEAE24296AC60198D15FCEFD6,Steel SAE 1040,as-rolled,621,414,25,201,207000,79000,0.3,7860,,,
ANSI,E9134C5FCB8C41569B3B50315A4D13A5,Steel SAE 1040,normalized,590,374,28,170,207000,79000,0.3,7860,,,
ANSI,CEEFEC39D52C4CBC9FD7A599BF6E4078,Steel SAE 1040,annealed,519,353,30,149,207000,79000,0.3,7860,310,,
ANSI,C3F57A34049943E98579CCEF761EE90D,Steel SAE 1040,tempered at 400 F,779,593,19,262,207000,79000,0.3,7860,,,
ANSI,6BB34C63B60749ADA2E4522BE8B284E2,Steel SAE 1050,as-rolled,724,414,20,229,207000,79000,0.3,7860,,,
ANSI,5D7646BB490A4A41A0C059C46224189F,Steel SAE 1050,normalized,748,427,20,217,207000,79000,0.3,7860,,,
ANSI,4DD78B764534417698C437FBECD1B914,Steel SAE 1050,annealed,636,365,23.7,187,207000,79000,0.3,7860,390,,
ANSI,60F13C35666C4904BB693C60FFC8297E,Steel SAE 1050,tempered at 600 F,979,724,14,321,207000,79000,0.3,7860,,,
ANSI,EC7B0B89340448B2A2A9AA29CC77DFB8,Steel SAE 1060,as-rolled,814,483,17,241,207000,79000,0.3,7860,,,
ANSI,EDF9BFB1E0D14FADAAFE02B8B7157D69,Steel SAE 1060,normalized,776,421,18,229,207000,79000,0.3,7860,,,
ANSI,2A8B4A39AA164951BF57C49A2FD5A8C0,Steel SAE 1060,annealed,626,372,22.5,179,207000,79000,0.3,7860,370,,
ANSI,51BB6C68630743439C326AAF86EA0D7C,Steel SAE 1060,tempered at 600 F,1103,779,13,321,207000,79000,0.3,7860,600,,
ANSI,677DEA95360F4ED08E9D8BA76BD75254,Steel SAE 1080,as-rolled,965,586,12,293,207000,79000,0.3,7860,,,
ANSI,E675A2F2E21E40B8830C1B3F23114D89,Steel SAE 1080,normalized,1010,524,11,293,207000,79000,0.3,7860,,,
ANSI,4D3E61A5DD21432FA051902D9F8B4567,Steel SAE 1080,annealed,615,376,24.7,174,207000,79000,0.3,7860,360,,
ANSI,CE4812A480FD405E8E0DAA0516695E81,Steel SAE 1080,tempered at 600 F,1303,979,12,388,207000,79000,0.3,7860,,,
ANSI,683B75ED3E71416BA59C281AA8342B0A,Steel SAE 1095,as-rolled,965,572,9,293,207000,79000,0.3,7860,,,
ANSI,5624C3966397415184BEEE0B6D6EEF68,Steel SAE 1095,normalized,1014,500,9.5,293,207000,79000,0.3,7860,,,
ANSI,388DD3EB93E1425BACFFD7A927F1E4B1,Steel SAE 1095,annealed,657,379,13,192,207000,79000,0.3,7860,,,
ANSI,18E85A7791694976A24C8E052BD13769,Steel SAE 1095,tempered at 400 F,1289,827,10,401,207000,79000,0.3,7860,,,
ANSI,76D2C71250F34F3BB4E20D9795D8FDF9,Steel SAE 1117,as-rolled,487,305,33,143,207000,79000,0.3,7860,,,
ANSI,8F59F91D01774EAD9862D688E8862F62,Steel SAE 1117,normalized,467,303,33.5,137,207000,79000,0.3,7860,,,
ANSI,5412CBE18E014D6CA2349F98FDCB7CF1,Steel SAE 1117,annealed,429,279,32.8,121,207000,79000,0.3,7860,,,
ANSI,B31ADD3ACE6D429EAED969BF1A48FCE8,Steel SAE 1118,as-rolled,521,316,32,149,207000,79000,0.3,7860,,,
ANSI,14E4B51BED3342A7936E3D09E5E5B406,Steel SAE 1118,normalized,477,319,33.5,143,207000,79000,0.3,7860,,,
ANSI,AEFFF966ED4E441BB320C8A8A4365FFA,Steel SAE 1118,annealed,450,284,34.5,131,207000,79000,0.3,7860,,,
ANSI,CF27002A1B9448539D2074C9C99A411A,Steel SAE 1137,as-rolled,627,379,28,192,207000,79000,0.3,7860,,,
ANSI,B9823642AF7E4A239F39B049736B33CF,Steel SAE 1137,normalized,669,396,22.5,197,207000,79000,0.3,7860,,,
ANSI,F9E819061E7A4AC799912C9C718136E0,Steel SAE 1137,annealed,584,345,26.8,174,207000,79000,0.3,7860,,,
ANSI,4955B1FBC76643B0A1C62062B4DDDEEB,Steel SAE 1137,tempered at 400 F,1082,938,5,352,207000,79000,0.3,7860,,,
ANSI,B0802701EBB749C9AE296C2ACFA172FE,Steel SAE 1141,as-rolled,676,359,22,192,207000,79000,0.3,7860,,,
ANSI,55104F2A46594921B7EA1A69A87AB996,Steel SAE 1141,normalized,707,405,22.7,201,207000,79000,0.3,7860,,,
ANSI,53A2EC1C4EA24F5AB1E229C4D9E61828,Steel SAE 1141,annealed,598,353,25.5,163,207000,79000,0.3,7860,,,
ANSI,F013E5DB6E4247368996B896F7B42124,Steel SAE 1141,tempered at 400 F,1634,1213,6,461,207000,79000,0.3,7860,,,
ANSI,E766C49F05B941258F0D26D634F9B09C,Steel SAE 1144,as-rolled,703,421,21,212,207000,79000,0.3,7860,,,
ANSI,A6957B64C23249A9B9098108B8822ABD,Steel SAE 1144,normalized,667,400,21,197,207000,79000,0.3,7860,,,
ANSI,70DFA279BC8646BB9186C383AC15A1B7,Steel SAE 1144,annealed,584,346,24.8,167,207000,79000,0.3,7860,,,
ANSI,1EA0C63CE8E646B48BDD0A2CEB4F84AD,Steel SAE 1144,tempered at 400 F,876,627,17,277,207000,79000,0.3,7860,,,
ANSI,DD26C8179B3E480496DF925718220483,Steel SAE 1340,normalized,836,558,22,248,207000,79000,0.3,7860,,,
ANSI,279530D698244B6A8D45448148B661C9,Steel SAE 1340,annealed,703,436,25.5,207,207000,79000,0.3,7860,,,
ANSI,D39EB1FD3E0241B599A4E47F81CFAA23,Steel SAE 1340,tempered at 400 F,1806,1593,11,505,207000,79000,0.3,7860,,,
ANSI,62DAD57F176D4491BCBF13927AB5486D,Steel SAE 3140,normalized,891,600,19.7,262,207000,79000,0.3,7860,,,
ANSI,849657544E284411BDFD5159978EE22F,Steel SAE 3140,annealed,689,422,24.5,197,207000,79000,0.3,7860,,,
ANSI,EF66164C6CFE430B937654F70E12D7EC,Steel SAE 4037,tempered at 400 F,1027,758,6,310,207000,79000,0.3,7860,,,
ANSI,1351D7DC9B18472F95F575337A1358B6,Steel SAE 4042,tempered at 400 F,1800,1662,12,516,207000,79000,0.3,7860,,,
ANSI,E20EC626F1E841248C34272843C62F7B,Steel SAE 4130,normalized,669,436,25.5,197,207000,79000,0.3,7860,,,
ANSI,99C77C3670B54339B60D684BA6E81764,Steel SAE 4130,annealed,560,360,28.2,156,207000,79000,0.3,7860,,,
ANSI,8638842ED9F44FA2AD535A9429DE4BB3,Steel SAE 4130,tempered at 400 F,1627,1462,10,467,207000,79000,0.3,7860,,,
ANSI,676EAF141CD24D92A7C598DFB07ADD96,Steel SAE 4140,normalized,1020,655,17.7,302,207000,79000,0.3,7860,,,
ANSI,F9992EBE68824E398334E26710CE817F,Steel SAE 4140,annealed,655,417,25.7,197,207000,79000,0.3,7860,,,
ANSI,A7414D9AC1834478929B86F5EA58628D,Steel SAE 4140,tempered at 400 F,1772,1641,8,510,207000,79000,0.3,7860,,,
ANSI,0CAC547704BE468E93FC049EC957CCBA,Steel SAE 4150,normalized,1155,734,11.7,321,207000,79000,0.3,7860,,,
ANSI,76B0AE8D9FC84B19B8C9777F23F7535C,Steel SAE 4150,annealed,729,379,20.2,197,207000,79000,0.3,7860,,,
ANSI,0A6487FACA444912BA9AD9187C817B9C,Steel SAE 4150,tempered at 400 F,1931,1724,10,530,207000,79000,0.3,7860,,,
ANSI,900569479B7A433ABE2D53767A0878F2,Steel SAE 4320,normalized,793,464,20.8,235,207000,79000,0.3,7860,,,
ANSI,77BFFA21FE4744069205BF8C549141D0,Steel SAE 4320,annealed,579,425,29,163,207000,79000,0.3,7860,,,
ANSI,689FB068F4FA47B2B368C374BFC50C29,Steel SAE 4340,normalized,1279,862,12.2,363,207000,79000,0.3,7860,,,
ANSI,51C972EA2EF04A728F9F537C74F69671,Steel SAE 4340,annealed,745,472,22,217,207000,79000,0.3,7860,,,
ANSI,40312809F59B4904AE2865372AD4C1F5,Steel SAE 4340,tempered at 400 F,1875,1675,10,520,207000,79000,0.3,7860,,,
ANSI,642039B632684DBB8C35AB46B2B30047,Steel SAE 4620,normalized,574,366,29,174,207000,79000,0.3,7860,,,
ANSI,1A42AEA1CB5F426E8C626FFC15F9C53A,Steel SAE 4620,annealed,512,372,31.3,149,207000,79000,0.3,7860,,,
ANSI,86D694E8101348BEB38DD49AC88C20A3,Steel SAE 4820,normalized,755,484,24,229,207000,79000,0.3,7860,,,
ANSI,B46E961340E14196B2580DEBF16E0369,Steel SAE 4820,annealed,681,464,22.3,197,207000,79000,0.3,7860,420,,

